Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Score,Seconds
1325,3:59.59,Ebeneza FELIX,14 AUG 1970,RSA,3,Port Elizabeth (RSA),14 FEB 1997,1079,239.59
1328,3:59.60,George YOUNG,24 JUL 1937,USA,4,"Los Angeles, CA (USA)",04 MAR 1972,1079,239.6
1329,3:59.60,James MUNYALA,02 NOV 1952,KEN,4,"Philadelphia, PA (USA)",29 APR 1978,1079,239.6
1329,3:59.60,Jean-Pierre PAUMEN,16 DEC 1956,BEL,12,Bruxelles (BEL),22 AUG 1980,1079,239.6
1330,3:59.60,Jaime LÓPEZ,05 APR 1955,ESP,4,Barcelona (ESP),18 JUN 1982,1079,239.6
1330,3:59.60,Mike GILCHRIST,09 AUG 1960,NZL,7,Edinburgh (GBR),26 JUN 1983,1079,239.6
1330,3:59.60,Pat CHESTER,11 NOV 1963,GBR,3,London (GBR),20 JUL 1985,1079,239.6
1332,3:59.60,Craig MOCHRIE,06 NOV 1962,GBR,1,Mansfield (GBR),28 AUG 1989,1079,239.6
1331,3:59.60,Michael KERRIGAN,18 APR 1985,USA,2,"Swarthmore, PA (USA)",14 MAY 2007,1079,239.6
1336,3:59.61,Malcolm PLANT,24 MAY 1957,GBR,10,London (GBR),31 AUG 1979,1079,239.61
1336,3:59.61,Boaz CHEBOIYWO,02 AUG 1978,KEN,1,"Des Moines, IA (USA)",26 APR 2003,1079,239.61
1336,3:59.61,Jacob DUMFORD,-,USA,5,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1079,239.61
1339,3:59.62,Ross PROUDFOOT,04 JUL 1992,CAN,7,Cork (IRL),08 JUL 2014,1079,239.62
1340,3:59.63,Vincent RONO,22 JUN 1986,KEN,1,"Mobile, AL (USA)",14 APR 2007,1079,239.63
1340,3:59.63,Vincent Kiprotich MUTAI,03 NOV 1994,KEN,2,Letterkenny (IRL),13 JUL 2014,1079,239.63
1342,3:59.64,Mark ARENS,23 MAR 1962,AUS,5,Adelaide (AUS),13 MAR 1982,1079,239.64
1342,3:59.64,Jermaine MAYS,23 DEC 1982,GBR,5,London (GBR),25 AUG 2007,1079,239.64
1344,3:59.65,Meshack SANG,24 JUL 1978,KEN,2,Växjö (SWE),10 AUG 1999,1079,239.65
1344,3:59.65,Joe WASKOM,-,USA,1f7,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1079,239.65
1346,3:59.66,Mbarak HUSSEIN,04 APR 1965,KEN,5,"New York, NY (USA)",20 JUL 1991,1079,239.66
1347,3:59.67,Mark KIRK,18 JAN 1963,GBR,6,Swansea (GBR),13 JUL 1986,1078,239.67000000000002
1347,3:59.67,Kyle BOORSMA,18 APR 1988,CAN,8,Toronto (CAN),11 JUN 2009,1078,239.67000000000002
1347,3:59.67,Brandon HUDGINS,14 JAN 1987,USA,5,"Raleigh, NC (USA)",07 AUG 2015,1078,239.67000000000002
1350,3:59.68,Nick SYMMONDS,30 DEC 1983,USA,2f2,"Nashville, TN (USA)",06 JUN 2015,1078,239.68
1350,3:59.68,Zakaria MAZOUZI,15 JUN 1985,MAR,15,"Olympic Stadium, London (GBR)",25 JUL 2015,1078,239.68
1350,3:59.68,Abraham Kiplagat CHEPLAITI,-,KEN,5f1,"Concord, MA (USA)",02 JUN 2016,1078,239.68
1350,3:59.68,Jordan MANN,12 JAN 1993,USA,5,St. Louis (USA),31 MAY 2018,1078,239.68
1350,3:59.68,Yassine HETHAT,30 AUG 1991,ALG,9,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1078,239.68
1355,3:59.69,Ben GREGORY,19 JAN 1983,USA,4,"Nashville, TN (USA)",02 JUN 2007,1078,239.69
1355,3:59.69,Ruben RAMOLEFI,17 JUL 1978,RSA,1,Cape Town (RSA),10 MAR 2011,1078,239.69
1355,3:59.69,Wesley MEYER,-,USA,2,"Montgomery Bell Academy, Nashville, TN (USA)",06 JUN 2021,1078,239.69
1358,3:59.70,Zbigniew ORYWAŁ,05 APR 1930,POL,3,London (GBR),03 SEP 1958,1078,239.7
1358,3:59.70,Harry DOWNES,-,AUS,1,Bendigo (AUS),09 MAR 1963,1078,239.7
1358,3:59.70,Mike SLACK,18 AUG 1951,USA,1,"Austin, TX (USA)",13 APR 1974,1078,239.7
1358,3:59.70,Takashi ISHII,27 AUG 1954,JPN,2,Melbourne (AUS),10 DEC 1977,1078,239.7
1358,3:59.70,Greg FREDERICKS,01 MAY 1950,USA,2,"State College, PA (USA)",05 AUG 1978,1078,239.7
1358,3:59.70,Peter RENNER,27 OCT 1959,NZL,1,Wanganui (NZL),13 FEB 1985,1078,239.7
1364,3:59.70,Marty HEMSLEY,03 NOV 1962,USA,4,"Eugene, OR (USA)",17 MAY 1986,1078,239.7
1364,3:59.70,Jim SORENSEN,10 MAY 1967,USA,4,"San Francisco, CA (USA)",15 MAY 1993,1078,239.7
1364,3:59.70,Jason BUNSTON,12 MAY 1972,CAN,3,"Hot Springs Village, AR (USA)",01 APR 1995,1078,239.7
1361,3:59.70,Philipp TULBA-MORRISON,20 SEP 1973,GBR,1,"Tooting Bec Athletics Track, London (GBR)",19 AUG 1998,1078,239.7
1365,3:59.70,Robert MACK,30 DEC 1984,USA,1,"Warwick, NY (USA)",29 MAY 2012,1078,239.7
1365,3:59.70,Christian NOBLE,21 APR 1997,USA,4f1,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",22 JAN 2022,1078,239.7
1370,3:59.71,Dan BROWNE,24 JUN 1975,USA,4,"Eugene, OR (USA)",13 MAY 2000,1078,239.71
1370,3:59.71,Rich TREMAIN,30 MAY 1971,CAN,2,"Falmouth, MA (USA)",20 AUG 2000,1078,239.71
1370,3:59.71,Lukas VERZBICAS,06 JAN 1993,LTU,1,"Icahn Stadium, New York, NY (USA)",11 JUN 2011,1078,239.71
1373,3:59.72,Baptiste MISCHLER,23 NOV 1997,FRA,3,"Stadion Allmend, Luzern (SUI)",03 JUL 2020,1078,239.72
1373,3:59.72,Nick FOSTER,03 OCT 2000,USA,2h3,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA)",25 FEB 2022,1078,239.72
1375,3:59.73,Harold KUPHALDT,24 AUG 1964,USA,2,"Eugene, OR (USA)",16 MAY 1987,1078,239.73
1375,3:59.73,Nick ROSS,11 NOV 1991,USA,6f1,"Concord, MA (USA)",02 JUN 2016,1078,239.73
1377,3:59.74,Nacer BRAHMIA,1963,ALG,11,"Olympiastadion, Berlin (GER)",18 AUG 1989,1078,239.74
1377,3:59.74,Peter PHILIPP,18 FEB 1972,SUI,9,Bratislava (SVK),09 JUN 1998,1078,239.74
1377,3:59.74,Tiidrek NURME,18 NOV 1985,EST,1,Viljandi (EST),09 AUG 2011,1078,239.74
1377,3:59.74,Owen DAWSON,19 SEP 1988,USA,5,"Philadelphia, PA (USA)",27 APR 2013,1078,239.74
1381,3:59.75,Jim HOWARTH,-,USA,12,"Eugene, OR (USA)",04 JUN 1994,1078,239.75
1381,3:59.75,Tom NOHILLY,27 APR 1966,USA,4,"Philadelphia, PA (USA)",29 APR 1995,1078,239.75
1381,3:59.75,Ming GU,24 APR 1984,CHN,10,"New York, NY (USA)",03 JUN 2006,1078,239.75
1381,3:59.75,Joe STILIN,05 DEC 1989,USA,6,"Greenville, SC (USA)",12 APR 2014,1078,239.75
1385,3:59.76,Scott HARRIS,30 AUG 1968,RSA,2,Port Elizabeth (RSA),15 APR 1994,1077,239.76
1385,3:59.76,Scott ANDERSON,30 JAN 1974,USA,3,"Falmouth, MA (USA)",20 AUG 2000,1077,239.76
1385,3:59.76,Halil AKKAŞ,01 JUL 1983,TUR,1,Istanbul (TUR),07 JUN 2008,1077,239.76
1385,3:59.76,Patrick TODD,06 JAN 1990,USA,4,"Nashville, TN (USA)",04 JUN 2011,1077,239.76
1389,3:59.77,Dan STRACKELJAHN,08 JAN 1984,USA,2,"Murfreesboro, TN (USA)",06 JUN 2009,1077,239.77
1389,3:59.77,Oliver CHIGNELL,16 FEB 1998,NZL,4,"Cooks Gardens, Wanganui (NZL)",30 JAN 2021,1077,239.77
1391,3:59.78,Wybo LELIEVELD,07 MAY 1957,NED,3,Leiden (NED),22 MAY 1981,1077,239.78
1391,3:59.78,Manson DU TOIT,11 FEB 1972,RSA,6,Stellenbosch (RSA),16 FEB 1996,1077,239.78
1391,3:59.78,James HENEGHAN,26 MAY 1999,GBR,5,"Birmingham University Athletics Track, Birmingham (GBR)",14 JUL 2021,1077,239.78
1394,3:59.79,Rick BERGESON,20 FEB 1964,USA,3f2,"Eugene, OR (USA)",16 MAY 1987,1077,239.79
1394,3:59.79,Paul GREER,08 JUL 1964,USA,6,"Westwood, CA (USA)",10 JUN 1989,1077,239.79
1394,3:59.79,Jon WILD,30 AUG 1973,GBR,4,"Hot Springs Village, AR (USA)",01 APR 1995,1077,239.79
1397,3:59.80,Chris CHATAWAY,31 JAN 1931,GBR,2,London (GBR),28 MAY 1955,1077,239.8
1397,3:59.80,Terence SULLIVAN,07 SEP 1935,ZIM,2,Dublin (IRL),23 SEP 1960,1077,239.8
1399,3:59.80,Basil CLIFFORD,20 APR 1938,IRL,3,London (GBR),03 AUG 1964,1077,239.8
1398,3:59.80,Wade BELL,03 JAN 1945,USA,3,"Eugene, OR (USA)",02 JUN 1966,1077,239.8
1400,3:59.80,Maurice BENN,09 NOV 1946,GBR,2,London (GBR),03 JUN 1968,1077,239.8
1399,3:59.80,Ray ROSEMAN,19 MAY 1939,GBR,4,Motspur Park (GBR),23 JUL 1969,1077,239.8
1399,3:59.80,Tony BENSON,20 MAY 1943,AUS,3,Melbourne (AUS),18 MAR 1971,1077,239.8
1399,3:59.80,John BAKER,14 APR 1949,USA,3,"Eugene, OR (USA)",26 JUN 1971,1077,239.8
1399,3:59.80,Ken NEWTON,05 JUN 1954,GBR,6,Gateshead (GBR),12 SEP 1977,1077,239.8
1399,3:59.80,Greg DUHAIME,11 AUG 1953,CAN,1,Burnaby (CAN),08 AUG 1981,1077,239.8
1399,3:59.80,Steve JAMES,14 JUL 1962,GBR,1,Nottingham (GBR),09 JUN 1984,1077,239.8
1406,3:59.80,Richard POTTS,13 JUL 1971,NZL,1,Christchurch (NZL),15 DEC 1993,1077,239.8
1406,3:59.80,Kobie VAN DER WESTHUIZEN,18 NOV 1969,RSA,7,Stellenbosch (RSA),16 FEB 1996,1077,239.8
1406,3:59.80,Jason WOOLHOUSE,09 SEP 1980,NZL,4,Christchurch (NZL),13 MAR 2009,1077,239.8
1406,3:59.80,Matthew TAYLOR,28 JUN 1994,NZL,2f1,"Cooks Gardens, Wanganui (NZL)",30 JAN 2022,1077,239.8
1412,3:59.81,Keith WHEELER,11 JUN 1943,AUS,3,Kingston (JAM),13 AUG 1966,1077,239.81
1412,3:59.81,Seyoum NEGATU,1956,ETH,5,Gateshead (GBR),07 JUN 1981,1077,239.81
1412,3:59.81,Alejandro SUÁREZ,30 NOV 1980,MEX,4,Burnaby (CAN),14 JUN 2005,1077,239.81
1412,3:59.81,Scott BAUHS,11 MAY 1986,USA,1,"Chico, CA (USA)",12 APR 2008,1077,239.81
1412,3:59.81,Bjørnar Sandnes LILLEFOSSE,17 JUL 1992,NOR,4f1,"Arna idrettspark, Bergen (NOR)",12 AUG 2020,1077,239.81
1417,3:59.82,Abel TEFFRA,-,USA,4,"UVA Lanningan Field, Charlottesville, VA (USA)",04 MAY 2022,1077,239.82
1418,3:59.83,Daniel WILSON,19 FEB 1979,USA,1,"Brunswick, ME (USA)",05 JUL 2003,1077,239.82999999999998
1419,3:59.84,Richard BLOCK,21 MAR 1960,USA,2,Tillsonburg (CAN),29 JUN 1985,1076,239.84
1419,3:59.84,Seamus MCCANN,10 JUN 1966,IRL,10,Cork (IRL),05 JUL 1988,1076,239.84
1419,3:59.84,Kyle KING,30 OCT 1989,USA,4,"Nashville, TN (USA)",05 JUN 2010,1076,239.84
1422,3:59.85,Yusuf BIZIMANA,06 SEP 2000,GBR,1,"Lied Recreation Center, Ames, IA (USA)",26 FEB 2022,1076,239.85
1423,3:59.86,Allen Gordon GRAFFIN,20 DEC 1977,GBR,13,"Crystal Palace, London (GBR)",05 AUG 2000,1076,239.86
1423,3:59.86,Bolota ASMEROM,12 OCT 1978,USA,4,"Palo Alto, CA (USA)",08 JUN 2002,1076,239.86
1423,3:59.86,Brannon KIDDER,18 NOV 1993,USA,3,"Des Moines, IA (USA)",28 APR 2018,1076,239.86
1423,3:59.86,Timo BENITZ,24 DEC 1991,GER,13,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1076,239.86
1427,3:59.87,Malcolm HICKS,19 OCT 1987,NZL,5,Wanganui (NZL),27 JAN 2012,1076,239.87
1428,3:59.88,Aaron LANZEL,08 AUG 1980,USA,8,"Eugene, OR (USA)",19 JUN 2004,1076,239.88
1428,3:59.88,Jonah MAIYO,05 APR 1979,KEN,3,"Walnut, CA (USA)",17 APR 2005,1076,239.88
1430,3:59.89,Matt TAYLOR,01 MAY 1965,USA,2,Haringey (GBR),13 JUL 1991,1076,239.89
1430,3:59.89,Parker STOKES,05 SEP 2000,USA,2f3,"UVA Lanningan Field, Charlottesville, VA (USA)",01 MAY 2021,1076,239.89
1432,3:59.90,Gordon PIRIE,10 FEB 1931,GBR,3,Dublin (IRL),23 SEP 1960,1076,239.9
1432,3:59.90,Gérard VERVOORT,06 MAY 1936,FRA,2,Rennes (FRA),09 JUN 1965,1076,239.9
1432,3:59.90,Chris MASON,05 DEC 1948,GBR,3,"Philadelphia, PA (USA)",30 MAY 1970,1076,239.9
1432,3:59.90,Peter KAAL,14 MAY 1949,RSA,1,"Wichita, KS (USA)",27 MAY 1972,1076,239.9
1432,3:59.90,Lars-Martin KAUPANG,18 AUG 1952,NOR,5,Oslo (NOR),31 JUL 1974,1076,239.9
1432,3:59.90,Eddy DE PAUW,08 JUN 1960,BEL,3,Ninove (BEL),28 JUL 1987,1076,239.9
1438,3:59.90,Kenneth PENNEY,26 JAN 1963,GBR,3,London (GBR),14 JUL 1991,1076,239.9
1433,3:59.90,Joe DUNBAR,25 FEB 1967,GBR,1,London (GBR),18 SEP 1991,1076,239.9
1433,3:59.90,Bob WHELAN,06 AUG 1968,USA,1,"Nashville, TN (USA)",11 JUL 1992,1076,239.9
1440,3:59.90,Troy REEDER,08 AUG 1994,USA,4,"Nashville, TN (USA)",31 MAY 2019,1076,239.9
1440,3:59.90,Michael COCCIA,1998,CAN,3,"Montgomery Bell Academy, Nashville, TN (USA)",06 JUN 2021,1076,239.9
1443,3:59.91,Darius BURROWS,08 AUG 1975,GBR,3,Solihull (GBR),05 SEP 1998,1076,239.91
1443,3:59.91,Aunese CURREEN,23 DEC 1981,SAM,3,Wanganui (NZL),16 FEB 2008,1076,239.91
1443,3:59.91,Ryan WITT,03 APR 1989,USA,2,"Salem, VA (USA)",10 MAY 2012,1076,239.91
1446,3:59.92,Euan MAKEPEACE,31 MAY 1997,GBR,7,"Saint Louis University High School, Saint Louis, MO (USA)",02 JUN 2022,1075,239.92000000000002
1447,3:59.93,Luis FEITEIRA,21 APR 1973,POR,2,Leiria (POR),27 APR 1999,1075,239.93
1447,3:59.93,Nikolai VEDEHIN,09 OCT 1985,EST,1,Tallinn (EST),25 AUG 2012,1075,239.93
1447,3:59.93,Anthony ROTICH,20 OCT 1990,USA,2,"Berkeley, CA (USA)",25 APR 2015,1075,239.93
1450,3:59.94,Jonathan RICHARDS,19 MAY 1964,GBR,8,Cork (IRL),07 JUL 1987,1075,239.94
1451,3:59.95,Jarrett LEBLANC,09 SEP 1990,USA,1,"Lake Charles, LA (USA)",23 MAY 2015,1075,239.95
1452,3:59.96,Laef BARNES,27 SEP 1986,USA,1,"Los Angeles, CA (USA)",12 APR 2008,1075,239.96
1452,3:59.96,Daniel DEY,05 AUG 1993,USA,3f1,"Murfreesboro, TN (USA)",01 JUN 2013,1075,239.96
1454,3:59.98,Philippe COLLARD,26 FEB 1960,FRA,3,Metz (FRA),11 SEP 1987,1075,239.98
1454,3:59.98,Tommy GJOLGA,01 MAY 1969,NOR,2,Byrkjelo (NOR),08 AUG 1993,1075,239.98
1454,3:59.98,Richard ASHE,05 OCT 1974,GBR,3,London (GBR),31 AUG 1996,1075,239.98
1454,3:59.98,Christopher SWART,19 APR 2000,RSA,4,"Green Point Stadium, Cape Town (RSA)",01 JUN 2022,1075,239.98
1458,3:59.99,Brian GAGNON,08 MAY 1987,USA,6,"Des Moines, IA (USA)",27 APR 2013,1075,239.99
1458,3:59.99,Crayton CARROZZA,-,USA,2,"Lied Recreation Center, Ames, IA (USA)",26 FEB 2022,1075,239.99
